Stage,Module,Node_ID,Node_Name,Weight_Shape,Sx,Sw,Sy,Sw_x_Sx_div_Sy (M_float),M_mult_dyn,M_shift_dyn,Rel_Err_Dyn_%,M_mult_16,M_shift_16,Rel_Err_16_%,Bias_Scale,DRAM1_Weight_Start,DRAM1_Weight_End,DRAM1_Bias_Start,DRAM1_Bias_End,DRAM2_OFM_Start,DRAM2_OFM_End
backbone,module_8_c3k2_P5,77,/model.8/cv1/conv/Conv,"[256, 256, 1, 1]",5.17187794e-02,1.08842944e-02,7.26672195e-02,7.74657986e-03,64983,23,0.000034,508,16,0.063060,5.62922419e-04,603662,669197,669198,669453,29491200,29593599
backbone,module_8_c3k2_P5,81,/model.8/m.0/cv1/conv/Conv,"[64, 128, 1, 1]",4.59495905e-02,5.68744047e-03,5.03289981e-02,5.19254447e-03,43558,23,0.000505,340,16,0.087745,2.61335561e-04,669456,677647,677648,677711,29849600,29875199
backbone,module_8_c3k2_P5,82,/model.8/m.0/cv2/conv/Conv,"[64, 128, 1, 1]",4.59495905e-02,1.57956195e-02,9.48371512e-02,7.65314265e-03,64199,23,0.000333,502,16,0.088453,7.25802246e-04,677712,685903,685904,685967,29875200,29900799
backbone,module_8_c3k2_P5,87,/model.8/m.0/m/m.0/cv1/conv/Conv,"[64, 64, 3, 3]",2.24743133e-02,1.04626201e-02,5.70862162e-02,4.11903641e-03,34553,23,0.000053,270,16,0.020311,2.35140203e-04,685968,722831,722832,722895,30003200,30028799
backbone,module_8_c3k2_P5,90,/model.8/m.0/m/m.0/cv2/conv/Conv,"[64, 64, 3, 3]",5.70456963e-02,7.37072351e-03,5.42581138e-02,7.74940421e-03,65007,23,0.000440,508,16,0.026591,4.20468055e-04,722896,759759,759760,759823,30080000,30105599
backbone,module_8_c3k2_P5,94,/model.8/m.0/m/m.1/cv1/conv/Conv,"[64, 64, 3, 3]",6.22134209e-02,2.78305890e-03,4.97068645e-02,3.48329383e-03,58440,24,0.000046,228,16,0.123157,1.73143615e-04,759824,796687,796688,796751,30182400,30207999
backbone,module_8_c3k2_P5,97,/model.8/m.0/m/m.1/cv2/conv/Conv,"[64, 64, 3, 3]",3.12423105e-02,1.14806393e-02,7.60987349e-02,4.71337268e-03,39539,23,0.000921,309,16,0.033800,3.58681698e-04,796752,833615,833616,833679,30259200,30284799
backbone,module_8_c3k2_P5,102,/model.8/m.0/cv3/conv/Conv,"[128, 128, 1, 1]",9.48365955e-02,5.72481165e-03,5.95768155e-02,9.11296856e-03,38223,22,0.001150,597,16,0.038094,5.42921647e-04,833680,850063,850064,850191,30412800,30463999
backbone,module_8_c3k2_P5,106,/model.8/cv2/conv/Conv,"[256, 384, 1, 1]",7.04822315e-02,7.94053078e-03,8.11145888e-02,6.89970000e-03,57879,23,0.000210,452,16,0.039529,5.59666328e-04,850192,948495,948496,948751,30720000,30822399
neck,module_9_sppf,109,/model.9/cv1/conv/Conv,"[128, 256, 1, 1]",5.13308518e-02,1.22897747e-02,6.63702056e-02,9.50493670e-03,39867,22,0.001018,623,16,0.013560,6.30844603e-04,948752,981519,981520,981647,31027200,31078399
