Node_Idx,Node_Name,Type,Producer,Input_Tensor,Min,Max,Mean,Std,P0.1%,P1%,P50%,P99%,P99.9%,Sat_<_-6(%),Sat_>_+6(%),Sat_Total6(%),"Linear_[-2,2](%)"
188,/model.16/m.0/cv1/act/Sigmoid,SiLU,Conv,/model.16/m.0/cv1/conv/Conv_output_0,-5.2564,2.5727,0.1367,0.5234,-1.5129,-1.0239,0.1619,1.5096,1.8000,0.00,0.00,0.00,99.98
189,/model.16/m.0/cv2/act/Sigmoid,SiLU,Conv,/model.16/m.0/cv2/conv/Conv_output_0,-9.6984,8.4912,0.0690,1.6379,-4.8004,-3.6074,0.0804,3.5530,4.2714,0.01,0.00,0.01,76.28
193,/model.16/m.0/m/m.0/cv1/act/Sigmoid,SiLU,Conv,/model.16/m.0/m/m.0/cv1/conv/Conv_output_0,-6.1438,7.6830,-0.2102,0.9406,-3.1490,-2.3740,-0.2032,2.1900,3.6583,0.00,0.00,0.00,95.97
196,/model.16/m.0/m/m.0/cv2/act/Sigmoid,SiLU,Conv,/model.16/m.0/m/m.0/cv2/conv/Conv_output_0,-6.9324,7.4834,0.0207,0.9435,-3.4748,-2.3395,-0.0106,2.3082,3.0160,0.00,0.00,0.00,95.03
200,/model.16/m.0/m/m.1/cv1/act/Sigmoid,SiLU,Conv,/model.16/m.0/m/m.1/cv1/conv/Conv_output_0,-7.3916,6.0986,-0.1567,1.0132,-3.3340,-2.2379,-0.2893,2.7463,3.1102,0.00,0.00,0.00,91.93
203,/model.16/m.0/m/m.1/cv2/act/Sigmoid,SiLU,Conv,/model.16/m.0/m/m.1/cv2/conv/Conv_output_0,-10.5186,17.3661,2.4579,2.0255,-3.6818,-2.0221,2.2926,8.1173,9.8446,0.01,5.90,5.90,42.01
208,/model.16/m.0/cv3/act/Sigmoid,SiLU,Conv,/model.16/m.0/cv3/conv/Conv_output_0,-11.3605,10.1247,0.4283,1.4344,-4.4222,-3.0820,0.5448,3.4595,4.5404,0.01,0.01,0.01,82.25
212,/model.16/cv2/act/Sigmoid,SiLU,Conv,/model.16/cv2/conv/Conv_output_0,-24.7681,6.5583,0.0137,1.2513,-7.9382,-3.2741,-0.0009,3.9177,4.6159,0.20,0.00,0.20,91.53
217,/model.17/act/Sigmoid,SiLU,Conv,/model.17/conv/Conv_output_0,-6.9825,6.1986,-0.5251,1.0386,-3.8883,-2.9912,-0.5671,1.8734,2.9691,0.00,0.00,0.00,91.86
218,/model.23/one2one_cv2.0/one2one_cv2.0.0/act/Sigmoid,SiLU,Conv,/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv_output_0,-18.3234,15.1708,2.8777,3.2176,-9.7427,-6.5645,2.8878,9.6328,11.8247,1.23,15.61,16.84,31.67
219,/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Sigmoid,SiLU,Conv,/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv_output_0,-6.9280,21.4806,2.5962,1.3429,-0.8312,-0.5286,2.6620,5.8446,7.2008,0.00,0.76,0.76,29.42
227,/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Sigmoid,SiLU,Conv,/model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv_output_0,-11.6595,5.1444,0.0502,1.1745,-5.6844,-3.0051,0.1567,2.4825,3.3710,0.10,0.00,0.10,91.88
228,/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/act/Sigmoid,SiLU,Conv,/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv_output_0,-10.2490,9.1704,0.0347,0.9239,-3.2922,-2.2651,0.0465,2.3328,3.3937,0.01,0.00,0.01,96.39
